Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,960,68640,69600,0.0138,1.000
Rand,20,69580,69600,0.0003,1.014
LRU,9,69591,69600,0.0001,1.014
Marker,11,69589,69600,0.0002,1.014
OnlineMin,11,69589,69600,0.0002,1.014
Predict[PLECO],747,68853,69600,0.0107,1.003
PredMark[PLECO],13,69587,69600,0.0002,1.014
LMarker[PLECO],13,69587,69600,0.0002,1.014
LNonMarker[PLECO],13,69587,69600,0.0002,1.014
FollowerRobust[PLECOState],494,69106,69600,0.0071,1.007
PredictiveOnlineMin[PLECO]-msf-100,523,69077,69600,0.0075,1.006
RPB-OnlineMin[PLECO]-msf-100-pb-0,522,69078,69600,0.0075,1.006
RPB-OnlineMin[PLECO]-msf-100-pb-1,537,69063,69600,0.0077,1.006
RPB-OnlineMin[PLECO]-msf-100-pb-2,537,69063,69600,0.0077,1.006
RPB-OnlineMin[PLECO]-msf-100-pb-4,537,69063,69600,0.0077,1.006
RPB-OnlineMin[PLECO]-msf-100-pb-8,537,69063,69600,0.0077,1.006
RPB-OnlineMin[PLECO]-msf-100-pb-16,537,69063,69600,0.0077,1.006
"CombDet[Predict[PLECO], LRU]",747,68853,69600,0.0107,1.003
"CombineRandom[Predict[PLECO], LRU]",747,68853,69600,0.0107,1.003
