Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,960,68640,69600,0.0138,1.000
Rand,24,69576,69600,0.0003,1.014
LRU,9,69591,69600,0.0001,1.014
Marker,10,69590,69600,0.0001,1.014
OnlineMin,12,69588,69600,0.0002,1.014
Predict[POPU],747,68853,69600,0.0107,1.003
PredMark[POPU],12,69588,69600,0.0002,1.014
LMarker[POPU],12,69588,69600,0.0002,1.014
LNonMarker[POPU],12,69588,69600,0.0002,1.014
FollowerRobust[POPUState],494,69106,69600,0.0071,1.007
PredictiveOnlineMin[POPU]-msf-100,471,69129,69600,0.0068,1.007
RPB-OnlineMin[POPU]-msf-100-pb-0,470,69130,69600,0.0068,1.007
RPB-OnlineMin[POPU]-msf-100-pb-1,474,69126,69600,0.0068,1.007
RPB-OnlineMin[POPU]-msf-100-pb-2,474,69126,69600,0.0068,1.007
RPB-OnlineMin[POPU]-msf-100-pb-4,474,69126,69600,0.0068,1.007
RPB-OnlineMin[POPU]-msf-100-pb-8,474,69126,69600,0.0068,1.007
RPB-OnlineMin[POPU]-msf-100-pb-16,474,69126,69600,0.0068,1.007
"CombDet[Predict[POPU], LRU]",747,68853,69600,0.0107,1.003
"CombineRandom[Predict[POPU], LRU]",747,68853,69600,0.0107,1.003
